cleaned_source,cleaned_target
it may have rained last night.,START_ सायद हिजो राति पानी परेको थियो। _END
it wasnt tom who kissed mary.,START_ त्यो टम थिएन जसले मेरीलाई चुम्बन गर्यो। _END
its toms birthday next week.,START_ अर्को हप्ता टमको जन्मदिन हो। _END
my brother watches television.,START_ मेरो भाइ टेलिभिजन हेर्छ। _END
nobody knew why this happened.,START_ यो किन भयो कसैलाई थाहा थिएन। _END
please dont do that tomorrow.,START_ कृपया भोलि यस्तो नगर्नुहोस्। _END
please dont do that tomorrow.,START_ कृपया भोलि त्यो नगर्नुहोस्। _END
stay in bed until next monday.,START_ कृपया सोमबार सम्म आराम गर्नुहोस्। _END
summer holiday begins in july.,START_ गर्मी बिदा जुलाई मा सुरु हुन्छ। _END
tell me why youre doing that.,START_ मलाई भन्नुहोस् कि तपाइँ किन त्यसो गर्नुहुन्छ। _END
"thank you very much, everyone.","START_ धेरै धेरै धन्यवाद, सबैलाई। _END"
the capital of japan is tokyo.,START_ जापानको राजधानी टोकियो हो। _END
the color i like most is blue.,START_ मलाई सबैभन्दा मन पर्ने रङ नीलो हो। _END
the door of the safe was open.,START_ सेफको ढोका खुला थियो । _END
the door of the safe was open.,START_ गल्लाको ढोका खुला थियो । _END
the fact is that i cant swim.,START_ तथ्य यो हो कि म पौडिन सक्दिन। _END
the situation is very complex.,START_ अवस्था निकै जटिल छ । _END
there are many tall buildings.,START_ त्यहाँ धेरै गगनचुम्बी भवनहरू छन्। _END
theyre walking without shoes.,START_ तिनीहरू जुत्ता बिना हिडिरहेका छन्। _END
this is exactly what i wanted.,START_ यो मैले चाहेको नै हो। _END
throw another log on the fire.,START_ आगोमा अर्को मुढा फ्याँक्नुहोस्। _END
tokyo is the capital of japan.,START_ टोकियो जापानको राजधानी हो। _END
tom admitted that it was true.,START_ टमले स्वीकार गरे कि यो सत्य थियो। _END
tom always had a lot of money.,START_ टमसँग सधैं धेरै पैसा थियो। _END
tom and i often work together.,START_ म प्राय टमसँग काम गर्छु। _END
tom and i often work together.,START_ टम र म प्राय सँगै काम गर्छौ। _END
tom and mary are really funny.,START_ टम र मेरी साँच्चै रमाइला छन्। _END
tom complained about the heat.,START_ टमले गर्मीको बारेमा गुनासो गरे। _END
tom didnt come to work today.,START_ टम आज काममा आएनन्। _END
tom didnt come to work today.,START_ टम आज काममा आएन। _END
tom didnt know mary was sick.,START_ टमलाई थाहा थिएन कि मेरी बिरामी छिन्। _END
tom didnt want us to do this.,START_ टमले हामीले यो गरून् भन्ने चाहँदैनथ्यो। _END
tom doesnt have a cell phone.,START_ टमसँग मोबाइल छैन। _END
tom doesnt know how to reply.,START_ टमलाई कसरी जवाफ दिने थाहा छैन। _END
tom has done everything wrong.,START_ टमले सबै गलत गरेको छ। _END
tom is a high school freshman.,START_ टम हाईस्कूलको नयाँ विद्यार्थी हो। _END
tom is a very charismatic man.,START_ टम एक धेरै आकर्षक मानिस हो। _END
tom is already good at french.,START_ टम पहिले नै फ्रान्सेली मा राम्रो छ। _END
"tom is very shallow, isnt he?","START_ टम धेरै खोक्रो छ, हैन? _END"
tom just wanted to be helpful.,START_ टम केवल सहयोगी हुन चाहन्थे। _END
tom lied about what hed done.,START_ टमले आफूले गरेको कामको बारेमा झूट बोल्यो। _END
tom looked at his watch again.,START_ टमले आफ्नो घडी फेरी हेर्यो। _END
tom said he needed to do that.,START_ टमले भने कि उनले त्यो गर्न आवश्यक छ। _END
tom seemed dazed and confused.,START_ टम चकित र भ्रमित देखिन्थ्यो। _END
tom served drinks to everyone.,START_ टमले सबैलाई पेय पदार्थ दिए। _END
tom taught me a lot of things.,START_ टमले मलाई धेरै कुरा सिकाए। _END
tom thinks mary is over forty.,START_ टमले मेरीलाई चालीस वर्ष नाघेको सोच्छ। _END
tom was the only one who came.,START_ टम मात्र आएका थिए। _END
tom would never have approved.,START_ टमले कहिल्यै अनुमोदन गर्ने थिएन। _END
wash your hands before eating.,START_ खाना खानु अघि आफ्नो हात धुनुहोस्। _END
we really want to impress tom.,START_ हामी वास्तवमै टमलाई प्रभावित गर्न चाहन्छौं। _END
were going as fast as we can.,START_ हामी सकेसम्म छिटो गइरहेका छौं। _END
what are toms sisters names?,START_ टमका बहिनीहरूको नाम के हो? _END
what are you doing these days?,START_ तपाई आजकल के गर्दै हुनुहुन्छ? _END
"what are you looking for, sir?","START_ महोदय, तपाई के खोज्दै हुनुहुन्छ? _END"
what high school do you go to?,START_ तपाईं कुन हाईस्कूल जानुहुन्छ? _END
what high school do you go to?,START_ तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ? _END
what is that big new building?,START_ त्यो ठूलो नयाँ भवन के हो? _END
whats toms favorite dessert?,START_ टमको मनपर्ने मिठाई के हो? _END
whats toms favorite dessert?,START_ टमको मनपर्ने डेजर्ट के हो? _END
when did you buy this bicycle?,START_ तपाईले यो साइकल कहिले किन्नु भयो? _END
why are you talking like that?,START_ किन यसरी बोल्दै हुनुहुन्छ ? _END
you havent met my family yet.,START_ तिमीले मेरो परिवारलाई अझै भेटेका छैनौ। _END
all of my children like boston.,START_ मेरा सबै बच्चाहरूलाई बोस्टन मन पर्छ। _END
did you see the game yesterday?,START_ हिजोको खेल हेर्नुभयो ? _END
dont forget to pack sunscreen.,START_ सनस्क्रिन प्याक गर्न नबिर्सनुहोस्। _END
february is the shortest month.,START_ फेब्रुअरी सबैभन्दा छोटो महिना हो। _END
hes popular with the students.,START_ उनी विद्यार्थीमाझ लोकप्रिय छन्। _END
hes popular with the students.,START_ ऊ विद्यार्थीमाझ लोकप्रिय छ। _END
i didnt do all this by myself.,START_ यो सब मैले एक्लै गरेको हैन । _END
"i didnt want to go, but i did.","START_ मलाई जान मन थिएन, तर म गएँ। _END"
i didnt want to take a chance.,START_ मलाई मौका लिन मन लागेन । _END
i feel happy when im with you.,START_ तिम्रो साथमा हुँदा मलाई खुसी लाग्छ। _END
i have a lot of homework to do.,START_ म संग गृहकार्य धेरै छ। _END
i havent decided anything yet.,START_ मैले अझै केही निर्णय गरेको छैन। _END
i havent decided what ill do.,START_ मैले के गर्ने भन्ने निर्णय गरेको छैन। _END
i havent done anything so far.,START_ मैले अहिलेसम्म केही गरेको छैन। _END
i need to have another surgery.,START_ मलाई अर्को शल्यक्रिया गर्न आवश्यक छ। _END
i think tom gave up too easily.,START_ मलाई लाग्छ टमले सजिलै हार मान्यो। _END
i thought tom would be pleased.,START_ मैले सोचें कि टम खुसी हुनेछ। _END
i told tom to lose some weight.,START_ मैले टमलाई केही तौल घटाउन भनें। _END
i want you to watch this video.,START_ म तपाईले यो भिडियो हेर्नुहोस् भन्ने चाहन्छु। _END
i was always very close to tom.,START_ म सधैं टमसँग धेरै नजिक थिए। _END
i was working when it happened.,START_ यो घटना हुँदा म काम गरिरहेको थिएँ। _END
id like to drink a cup of tea.,START_ म एक गिलास चिया पिउन चाहान्छु। _END
ill be back in thirty minutes.,START_ म तीस मिनेटमा फर्कने छु। _END
"im tom. this is my wife, mary.",START_ म टम हुँ। यिनी मेरी श्रीमती मेरी हुन्। _END
im friends with toms brother.,START_ म टमको भाईसँग साथी छु। _END
im friends with toms brother.,START_ म टमको दाईसँग साथी छु। _END
im going to break up with tom.,START_ म टमसँग ब्रेकअप गर्न जाँदैछु। _END
im now used to wearing a mask.,START_ मलाई अहिले मास्क लगाउने बानी परेको छ । _END
im pretty sure toms canadian.,START_ म टम क्यानेडियन हो भनेर पक्का छु। _END
ive already found a volunteer.,START_ मैले पहिले नै स्वयंसेवक फेला पारेको छु। _END
ive finished cleaning my room.,START_ मैले मेरो कोठा सफा गरिसकेको छु। _END
is tom good at speaking french?,START_ के टम फ्रान्सेली बोल्नमा राम्रो छ? _END
it started raining really hard.,START_ भारी पानी पर्न थाल्यो। _END
itll be much better next time.,START_ यो अर्को पटक धेरै राम्रो हुनेछ। _END
its healthy to breathe deeply.,START_ गहिरो सास फेर्नु स्वस्थकर हुन्छ। _END
kyiv is the capital of ukraine.,START_ कीभ युक्रेनको राजधानी हो। _END
let me think over until monday.,START_ मलाई सोमबार सम्म सोच्न दिनुहोस्। _END
madrid is the capital of spain.,START_ म्याड्रिड स्पेनको राजधानी हो। _END
paris is the capital of france.,START_ पेरिस फ्रान्सको राजधानी हो। _END
payment is required in advance.,START_ अग्रिम भुक्तानी आवश्यक छ। _END
please call me tom from now on.,START_ कृपया मलाई अब देखि टम भन्ने गर्नुहोस्। _END
please call me tom from now on.,START_ कृपया मलाई अब देखि टम भनेर बोलाउनुहोस्। _END
tell me why you dont like tom.,START_ मलाई भन्नुहोस् कि तपाई टमलाई किन मन पराउनुहुन्न। _END
that book is written in french.,START_ त्यो पुस्तक फ्रान्सेलीमा लेखिएको छ। _END
the capital of ukraine is kyiv.,START_ युक्रेनको राजधानी कीभ हो। _END
the students helped each other.,START_ विद्यार्थीहरूले एकअर्कालाई सहयोग गरे। _END
things didnt turn out so well.,START_ चीजहरू त्यति राम्ररी बाहिर आएनन्। _END
those roses are very beautiful.,START_ त्यो गुलाब एकदमै सुन्दर छ। _END
tom and mary are great friends.,START_ टम र मेरी महान साथी हुन्। _END
tom asked me several questions.,START_ टमले मलाई धेरै प्रश्नहरू सोधे। _END
tom asked me several questions.,START_ टमले मलाई धेरै प्रश्नहरू सोध्यो। _END
tom bought a very cheap camera.,START_ टमले एकदमै सस्तो क्यामेरा किन्यो। _END
tom decided not to go swimming.,START_ टमले पौडी खेल्न नजाने निर्णय गरे। _END
tom doesnt usually wear a hat.,START_ टमले सामान्यतया टोपी लगाउँदैन। _END
tom has been bitten by a snake.,START_ टमलाई सर्पले टोकेको छ। _END
tom is working as a waiter now.,START_ टम अहिले वेटरको रूपमा काम गर्दैछ। _END
tom knows he shouldnt be here.,START_ टमलाई थाहा छ ऊ यहाँ हुनुहुँदैन। _END
tom obviously needed some help.,START_ टमलाई स्पष्ट रूपमा केही मद्दत चाहिन्छ। _END
tom offered to buy mary a beer.,START_ टमले मेरीलाई बियर किनिदिने प्रस्ताव गरे। _END
tom put the knife on the table.,START_ टमले चक्कु टेबुलमा राख्यो। _END
tom rolled his shirtsleeves up.,START_ टमले आफ्नो शर्टको बाहुला माथि घुमाए। _END
tom rolled up his shirtsleeves.,START_ टमले आफ्नो शर्टका बाहुलाहरू सुर्कियो। _END
tom was as nervous as mary was.,START_ टम मेरी जस्तै नर्भस थियो। _END
tom was detained by the police.,START_ टमलाई प्रहरीले नियन्त्रणमा लिएको थियो। _END
tom was hiding in the basement.,START_ टम बेसमेन्टमा लुकेको थियो। _END
we really appreciate your help.,START_ हामी तपाईंको सहयोगको साँच्चै कदर गर्छौं। _END
what does a liter of milk cost?,START_ एक लिटर दूधको मूल्य कति पर्छ? _END
what language are you speaking?,START_ तपाई कुन भाषा बोल्नुहुन्छ? _END
what language are you speaking?,START_ कुन भाषा बोल्दै हुनुहुन्छ ? _END
whats marys boyfriends name?,START_ मेरीको प्रेमीको नाम के हो? _END
where do you go to high school?,START_ तपाईं कुन हाईस्कूल जानुहुन्छ? _END
where do you go to high school?,START_ तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ? _END
whos your downstairs neighbor?,START_ तपाईको तलको छिमेकी को हो? _END
why didnt anyone say anything?,START_ किन कसैले केही भनेनन् ? _END
will anyone care if we do that?,START_ हामीले त्यसो गर्‍यौं भने कसैले वास्ता गर्छ? _END
you need someone you can trust.,START_ तपाईलाई विश्वास गर्न सक्ने व्यक्ति चाहिन्छ। _END
zoology is my favorite subject.,START_ प्राणीशास्त्र मेरो मनपर्ने विषय हो। _END
who is it? its your mother.,START_ उँहा को हुनुहुन्छ? मेरी आमा। _END
are you still afraid to do that?,START_ के तपाई अझै पनि त्यसो गर्न डराउनुहुन्छ? _END
arent you allergic to anything?,START_ तपाईलाई कुनै कुरामा एलर्जी छैन? _END
beijing is the capital of china.,START_ बेइजिङ चीनको राजधानी हो। _END
being modest never hurt anybody.,START_ नम्र हुनाले कसैलाई कहिल्यै हानि पुर्याउदैन। _END
contact tom jackson for details.,START_ विवरणका लागि टम ज्याक्सनलाई सम्पर्क गर्नुहोस्। _END
could i have something to drink?,START_ के म पिउन केहि पाउन सक्छु? _END
delete toms name from the list.,START_ सूचीबाट टमको नाम मेटाउनुहोस्। _END
everyone knows that you hit tom.,START_ सबैलाई थाहा छ कि तपाईले टमलाई हिर्काउनुभयो। _END
everything was clear and simple.,START_ सबै कुरा स्पष्ट र सरल थियो। _END
excuse me. do you speak english?,START_ मलाईं माफ गर्नुहोस्। के तपाईँ अङ्ग्रेजी बोल्नुहुन्छ? _END
have you ever made marshmallows?,START_ के तपाईंले कहिल्यै मार्शमेलो बनाउनुभएको छ? _END
have you seen any movies lately?,START_ हालसालै कुनै चलचित्र हेर्नुभएको छ? _END
he has no more than dollars.,START_ उहाँसँग डलरभन्दा बढी छैन। _END
how long did you stay in boston?,START_ तपाईं बोस्टनमा कति लामो बस्नु भयो? _END
how much of this is toms fault?,START_ यसमा टमको कत्तिको गल्ती छ? _END
how much of this stuff is yours?,START_ यो सामान तपाईको कति हो? _END
how often do you ride a bicycle?,START_ तपाई कत्तिको पटक साइकल चलाउन हुन्छ? _END
i did not understand him at all.,START_ मैले उसलाई पटक्कै बुझिन। _END
i dont think that youre funny.,START_ मलाई लाग्दैन कि तपाईं हास्यास्पद हुनुहुन्छ। _END
i have more than one girlfriend.,START_ मेरो एक भन्दा बढी प्रेमिका छन्। _END
i have more than one girlfriend.,START_ मे संग एक भन्दा बढी प्रेमिका छन्। _END
i hope our plane leaves on time.,START_ मलाई आशा छ कि हाम्रो विमान समयमै प्रस्थान गर्छ। _END
i probably wont be able to win.,START_ सायद म जित्न सक्दिन होला। _END
i slept for the rest of the day.,START_ म बाँकी दिन सुतेको थिएँ । _END
i think id like to go with you.,START_ मलाई लाग्छ म तपाईंसँग जान चाहन्छु। _END
i think itll be sunny tomorrow.,START_ भोलि घाम लाग्छ जस्तो लाग्छ। _END
i think that tom is working now.,START_ मलाई लाग्छ कि टम अहिले काम गरिरहेको छ। _END
"i think you worry too much, tom.","START_ मलाई लाग्छ तपाईं धेरै चिन्तित हुनुहुन्छ, टम। _END"
i want to eat breakfast outside.,START_ म बिहानको खाजा बाहिर खान चाहन्छु। _END
i want to punch you in the face.,START_ म तेरो अनुहारमा मुक्का हान्न चाहन्छु। _END
ill be staying here for a week.,START_ म यहाँ एक हप्ता बस्नेछु। _END
ill give you anything you want.,START_ म तिमी जे चाहन्छौ त्यहि दिन्छु। _END
im hoping we can do that today.,START_ मलाई आशा छ कि आज हामी त्यो गर्न सक्छौं। _END
im positive that i can do that.,START_ म त्यो गर्न सक्छु भन्नेमा सकारात्मक छु। _END
im pretty sure toms competent.,START_ म पक्का छु कि टम सक्षम छ। _END
im sure that tom remembers you.,START_ म पक्का छु कि टमले तपाईलाई सम्झेको छ। _END
ive already spent all my money.,START_ मैले पहिले नै सबै पैसा खर्च गरिसकेको छु। _END
ive been in line all afternoon.,START_ दिउँसो दिनभर लाइनमा बसेको छु । _END
ive changed my opinion on that.,START_ मैले यसमा मेरो धारणा परिवर्तन गरेको छु। _END
it isnt raining much this year.,START_ यो वर्ष खासै पानी परेको छैन । _END
its getting darker outside now.,START_ बाहिर अँध्यारो हुँदैछ। _END
its not healthy to eat and run.,START_ खाना खाएर दौडनु स्वस्थकर होइन। _END
its walking distance from here.,START_ यहाँबाट हिड्ने दूरीमा छ। _END
learning french isnt difficult.,START_ फ्रान्सेली सिक्न गाह्रो छैन। _END
"mary doesnt eat pork, does she?","START_ मेरी सुँगुरको मासु खादिनन् , हैन? _END"
"may i see your passport, please?",START_ के म तपाईंको पासपोर्ट हेर्न सक्छु? _END
ottawa is the capital of canada.,START_ ओटावा क्यानाडाको राजधानी हो। _END
the capital of poland is warsaw.,START_ पोल्याण्डको राजधानी वारसा हो। _END
the color i like most is orange.,START_ मलाई सबैभन्दा मनपर्ने रङ सुन्तले हो। _END
the exam is coming up next week.,START_ अर्को हप्ता परीक्षा आउँदैछ। _END
the plane flew above the clouds.,START_ विमान बादल माथि उड्यो। _END
the process is very complicated.,START_ प्रक्रिया एकदमै जटिल छ। _END
this is one of toms best poems.,START_ यो टमको उत्कृष्ट कविताहरू मध्ये एक हो। _END
tom and mary are often together.,START_ टम र मेरी अक्सर सँगै हुन्छन्। _END
tom and mary were drinking beer.,START_ टम र मेरी बियर पिइरहेका थिए। _END
tom did marys homework for her.,START_ टमले उनको लागि मेरीको गृहकार्य गरे। _END
tom didnt look very busy to me.,START_ टम मेरो लागि धेरै व्यस्त देखिएन। _END
tom is already three hours late.,START_ टम पहिले नै तीन घण्टा ढिलो छ। _END
"tom is an amazing guy, isnt he?","START_ टम एक अचम्मको मान्छे हो, हैन? _END"
tom is my husbands middle name.,START_ टम मेरो श्रीमानको बीचको नाम हो। _END
tom is my husbands middle name.,START_ टम मेरो पतिको बीचको नाम हो। _END
tom is still too young to drive.,START_ टम अझै पनि ड्राइभ गर्न को लागी धेरै जवान छ। _END
tom is working in australia now.,START_ टम अहिले अस्ट्रेलियामा काम गर्दैछ। _END
tom left at four in the morning.,START_ टम बिहान चार बजे निस्कियो। _END
tom left at four in the morning.,START_ टम बिहान चार बजे गए। _END
tom looked really uncomfortable.,START_ टम साँच्चै असहज देखिन्थ्यो । _END
tom plans to go home by himself.,START_ टमले एक्लै घर जाने योजना बनाउँछ। _END
tom planted a little peach tree.,START_ टमले एउटा सानो आरुको रूख रोपे। _END
tom said he couldnt believe it.,START_ टमले भने कि उसले यो विश्वास गर्न सक्दैनन्। _END
tom seemed very full of himself.,START_ टम आफैंमा धेरै भरिएको देखिन्थ्यो। _END
tom should tell mary to do that.,START_ टमले मेरीलाई त्यसो गर्न भन्नु पर्छ। _END
tom thinks that mary is my name.,START_ टम सोच्छन् कि मेरो नाम मेरी हो। _END
tom went from boston to chicago.,START_ टम बोस्टनबाट शिकागो गए। _END
toms dog never barks at anyone.,START_ टमको कुकुर कहिल्यै कसैलाई भुक्दैन। _END
toms grandfather couldnt read.,START_ टमका हजुरबुवाले पढ्न सक्नुहुदैन थियो। _END
we should only eat healthy food.,START_ हामीले स्वस्थकर खाना मात्रै खानुपर्छ। _END
were you popular in high school?,START_ के तपाई हाई स्कूलमा लोकप्रिय हुनुहुन्थ्यो? _END
what kind of mushrooms are they?,START_ तिनीहरू कुन प्रकारका च्याउ हुन्? _END
where do you attend high school?,START_ तपाईं कुन हाईस्कूल जानुहुन्छ? _END
where do you attend high school?,START_ तपाईं कुन हाईस्कूलमा जादै हुनुहुन्छ? _END
why dont you have any kids yet?,START_ तपाईका अझै बच्चाहरू किन छैनन्? _END
why would you like to work here?,START_ किन यहाँ काम गर्न चाहान्छौ? _END
"you like older women, dont you?","START_ तपाईलाई वृद्ध महिलाहरू मनपर्छ, हैन? _END"
you need to respect the elderly.,START_ ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ। _END
you seem to know a lot about me.,START_ तिमीलाई मेरो बारेमा धेरै कुरा थाहा छ जस्तो लाग्छ। _END
berlin is the capital of germany.,START_ बर्लिन जर्मनीको राजधानी हो। _END
can i still get something to eat?,START_ के म अझै पनि खानेकुरा पाउन सक्छु? _END
can you talk about that a little?,START_ यसबारे अलिकति कुरा गर्न सक्नुहुन्छ? _END
did you forget your wallet again?,START_ के तपाईंले आफ्नो वालेट फेरि बिर्सनुभयो? _END
do you know how to change a fuse?,START_ के तपाईंलाई फ्यूज कसरी परिवर्तन गर्ने थाहा छ? _END
do you know where toms house is?,START_ के तपाईलाई थाहा छ टमको घर कहाँ छ? _END
dont forget to do your homework.,START_ आफ्नो गृहकार्य गर्न नबिर्सनुहोस्। _END
have you already eaten some cake?,START_ अघिनै केक खाइसक्नु भयो? _END
he has been dead for three years.,START_ उनको मृत्यु भएको तीन वर्ष भयो । _END
how will the weather be tomorrow?,START_ भोलिको मौसम कस्तो रहनेछ? _END
i didnt really think about that.,START_ मैले साँच्चै यसको बारेमा सोचेको छैन। _END
i dont mind the smell of durian.,START_ मलाई डुरियनको गन्धमा कुनै आपत्ति छैन। _END
i dont want anybody to get hurt.,START_ म कसैलाई चोट पुर्याउन चाहन्न। _END
i gave tom some milk and cookies.,START_ मैले टमलाई केही दूध र कुकीहरू दिएँ। _END
i havent decided what to do yet.,START_ मैले अझै के गर्ने निर्णय गरेको छैन। _END
i just downloaded a lot of files.,START_ मैले भर्खरै धेरै फाईलहरू डाउनलोड गरें। _END
i live next door to the toy shop.,START_ म खेलौना पसलको छेउमा बस्छु। _END
i thought tom might be in boston.,START_ मैले सोचे कि टम बोस्टन मा हुन सक्छ। _END
i was surprised when tom told me.,START_ जब टमले मलाई भन्यो म छक्क परें। _END
ive forgotten toms wifes name.,START_ मैले टमकी श्रीमतीको नाम बिर्सिए। _END
it is said that he was very rich.,START_ भनिन्छ उनी निकै धनी थिए । _END
its colder today than yesterday.,START_ हिजो भन्दा आज चिसो बढेको छ । _END
london is the capital of england.,START_ लन्डन इङ्गल्याण्ड को राजधानी हो। _END
my brother and i were very close.,START_ मेरो भाइ र म धेरै नजिक थियौं। _END
never be afraid to make mistakes.,START_ असफलता देखि नडराऊ। _END
results will be announced monday.,START_ नतिजा सोमबार घोषणा हुनेछ। _END
the pig is an intelligent animal.,START_ सुँगुर एक बुद्धिमान प्राणी हो। _END
the public has the right to know.,START_ जनतालाई जान्न पाउने अधिकार छ । _END
theres no time to do that today.,START_ आज त्यो गर्ने समय छैन। _END
this ring is the one tom gave me.,START_ यो टमले मलाई दिएको एउटा औंठी हो। _END
tom always gets up at six-thirty.,START_ टम जहिले पनि साढे छ बजे उठ्छ। _END
tom doesnt express himself well.,START_ टमले आफूलाई राम्रोसँग व्यक्त गर्दैन। _END
tom gave me this for my birthday.,START_ टमले मलाई मेरो जन्मदिनको लागि यो दिए। _END
tom has everything under control.,START_ टमको नियन्त्रणमा सबै कुरा छ। _END
"tom is in the hospital, isnt he?","START_ टम अस्पतालमा छ, हैन? _END"
"tom is still doing that, i think.","START_ टम अझै पनि त्यही गरिरहेको छ, मलाई लाग्छ। _END"
tom is working in his office now.,START_ टम अहिले आफ्नो कार्यालयमा काम गर्दैछ। _END
tom isnt here because hes sick.,START_ टम यहाँ छैन किनभने ऊ बिरामी छ। _END
tom loves pizza and french fries.,START_ टमलाई पिज्जा र फ्रेन्च फ्राइज मन पर्छ। _END
tom said he was happy to do that.,START_ टमले यसो गर्न पाउँदा खुसी लागेको बताए। _END
tom was the one who gave me this.,START_ टम एक थियो जसले मलाई यो दियो। _END
we expected tom to behave better.,START_ हामीले टमले राम्रो व्यवहार गर्ने अपेक्षा गरेका थियौं। _END
what did you do for fathers day?,START_ बुवाको दिनमा के गर्नुभयो ? _END
when was the last time you cried?,START_ तिमी अन्तिम पटक कहिले रोएको थियौ ? _END
why do you need to borrow my car?,START_ तपाईंले मेरो कार किन सापटी लिनु पर्यो ? _END
you have to go back to australia.,START_ तपाई अष्ट्रेलिया फर्किनु पर्छ। _END
you must respect senior citizens.,START_ ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ। _END
youre going to be my son-in-law.,START_ तपाई मेरो ज्वाइँ बन्दै हुनुहुन्छ। _END
youre in better shape than i am.,START_ तपाईं म भन्दा राम्रो अवस्थामा हुनुहुन्छ। _END
what are you studying? french.,START_ तिमी के पढ्दै छौ? फ्रान्सेली भाषा। _END
an explosion blew the house apart.,START_ विष्फोटले घर ध्वस्त पारेको छ । _END
can you pick me up at the station?,START_ के मलाई स्टेशनमा लिन आउन सक्छौ? _END
can you please explain this to me?,START_ कृपया मलाई यो कुरा बुझाउन सक्नुहुन्छ? _END
could you leave this book with me?,START_ के तपाईं यो किताब मसँग छोड्न सक्नुहुन्छ? _END
"excuse me, are you a student here?","START_ माफ गर्नुहोस्, के तपाईं यहाँको विद्यार्थी हुनुहुन्छ? _END"
french is an interesting language.,START_ फ्रेन्च एउटा रोचक भाषा हो। _END
have my piece of cake if you like.,START_ यदि तपाईलाई मन पर्यो भने मेरो केकको टुक्रा लिनुहोस्। _END
he had friends all over the world.,START_ संसारभरि उनका साथी थिए । _END
he is very good at playing violin.,START_ उनी भायोलिन बजाउन निकै माहिर छन् । _END
he really likes the united states.,START_ उसलाई संयुक्त राज्य अमेरिका मन पर्छ। _END
he was very friendly to everybody.,START_ उनी सबैसँग निकै मिलनसार थिए। _END
he was very friendly to everybody.,START_ उहाँ सबैसँग धेरै मिलनसार हुनुहुन्थ्यो। _END
how could you write such a letter?,START_ तपाई यस्तो पत्र कसरी लेख्न सक्नु हुन्छ ? _END
how could you write such a letter?,START_ तिमीले यस्तो चिठ्ठी कसरी लेख्न सक्यौ? _END
how long are you going to do this?,START_ तपाई कहिले सम्म यो गर्न जाँदै हुनुहुन्छ? _END
how was the man you met yesterday?,START_ हिजो भेटेको मान्छे कस्तो थियो? _END
i bought a watch and an empty box.,START_ मैले एउटा घडी र एउटा खाली बक्स किनेँ। _END
i didnt know tom was from boston.,START_ टम बोस्टनबाट आएको मलाई थाहा थिएन। _END
i dont think i have one of those.,START_ के तपाई आज त्यसो गर्न रुचाउनुहुन्छ? _END
i forgot tom used to be a plumber.,START_ टम प्लम्बर हुनुहुन्थ्यो भनेर मैले बिर्सें। _END
i found a good mexican restaurant.,START_ मैले एउटा स्वादिष्ट मेक्सिकन रेस्टुरेन्ट फेला पारे। _END
i guess nobody buys these anymore.,START_ मलाई लाग्छ अब यो कसैले किन्दैन। _END
i had the good fortune to succeed.,START_ म सफल हुन भाग्यशाली थिएँ। _END
i have heard nothing from him yet.,START_ मैले अहिलेसम्म उहाँबाट केही पनि सुनेको छैन। _END
i never thought id do this again.,START_ मैले कहिल्यै सोचेको थिइन कि म यो फेरि गर्नेछु। _END
i saw tom limping down the street.,START_ मैले टमलाई सडकमा लङ्गडा गरिरहेको देखेँ। _END
i showed tom how to tie a bowline.,START_ मैले टमलाई बाउलाइन कसरी बाँध्ने भनेर देखाएँ। _END
i think tom is having a good time.,START_ मलाई लाग्छ टमले राम्रो समय बिताइरहेको छ। _END
i think tom was born in australia.,START_ मलाई लाग्छ टम अष्ट्रेलियामा जन्मिएको हो। _END
i think that tom would be nervous.,START_ मलाई लाग्छ कि टम नर्भस हुनेछ। _END
i was at a loss as to what to say.,START_ म के भन्नू भनी अलमलमा परें। _END
i would like to improve my french.,START_ म मेरो फ्रान्सेली सुधार गर्न चाहन्छु। _END
im tired and i want to go to bed.,START_ म थाकेको छु र म ओछ्यानमा जान चाहन्छु। _END
ive never seen tom wearing a tie.,START_ मैले टमलाई टाई लगाएको कहिल्यै देखेको छैन। _END
itll be finished in a day or two.,START_ यो एक दुई दिनमा सकिन्छ। _END
my father is the one drinking tea.,START_ चिया पिउने मेरो बुवा हुनुहुन्छ। _END
nowadays jobs are hard to come by.,START_ आजकल काम पाउन गाह्रो छ। _END
only a few people listened to him.,START_ थोरै मानिसले मात्र उनको कुरा सुने। _END
phoenix is the capital of arizona.,START_ फिनिक्स एरिजोना को राजधानी हो। _END
something has gone terribly wrong.,START_ केही नराम्रोसँग गडबड भएको छ। _END
the capital of brazil is brasilia.,START_ ब्राजिलको राजधानी ब्रासिलिया हो। _END
the fire destroyed the whole city.,START_ आगलागीले पूरै सहर ध्वस्त पारेको छ । _END
those books are written in french.,START_ ती पुस्तकहरू फ्रेन्चमा लेखिएका छन्। _END
tom and i agreed to work together.,START_ टम र म सँगै काम गर्न सहमत भयौं। _END
tom and mary are now eating lunch.,START_ टम र मेरी अहिले खाजा खाँदैछन्। _END
tom and mary argued all afternoon.,START_ टम र मेरीले दिउँसो भरी बहस गरे। _END
tom asked me a confusing question.,START_ टमले मलाई एक भ्रमित प्रश्न सोध्यो। _END
tom has decided to buy the island.,START_ टमले टापु किन्ने निर्णय गरेको छ। _END
